30075445, Morris Park Bake Shop, 1007, -73.856077, 40.848447, Morris Park Ave, 10462, Bronx, Bakery
40363093, Carvel Ice Cream, 1006, -73.84856870000002, 40.8903781, East 233 Street, 10466, Bronx, Ice
40363098, Dunkin' Donuts, 56, -73.991495, 40.692273, Court Street, 11201, Brooklyn, Donuts
40363117, Mejlander & Mulgannon, 7615, -74.0228449, 40.6281815, 5 Avenue, 11209, Brooklyn, American
40363151, Olive'S, 120, -73.9998042, 40.7251256, Prince Street, 10012, Manhattan, Bakery
40363289, Happy Garden, 1236, -73.8893654, 40.81376179999999, 238 Spofford Ave, 10474, Bronx, Chinese
40363298, Cafe Metro, 625, -73.990494, 40.7569545, 8 Avenue, 10018, Manhattan, American
40363333, Tony'S Deli, 1069, -73.902463, 40.694924, Wyckoff Avenue, 11385, Queens, Delicatessen
40363426, Lexler Deli, 405, -73.97534999999999, 40.7516269, Lexington Avenue, 10174, Manhattan, Sandwiches/Salads/Mixed
40363427, Bagels N Buns, 2491, -74.1459332, 40.6103714, Victory Boulevard, 10314, Staten, Delicatessen
40363565, Hot Bagels, 7905, -73.8740217, 40.7135015, Metropolitan Avenue, 11379, Queens, Bagels/Pretzels
40363590, Snack Time Grill, 87-69, -73.8309503, 40.7001121, Lefferts Boulevard, 11418, Queens, American
40363630, Lorenzo & Maria'S, 1418, -73.95685019999999, 40.7753401, Third Avenue, 10028, Manhattan, Continental
40363644, Domino'S Pizza, 464, -73.9791458, 40.744328, 3 Avenue, 10016, Manhattan, Pizza
40363685, Berkely, 437, -73.975393, 40.757365, Madison Avenue, 10022, Manhattan, American
40363744, Sonny'S Heros, 1031, -73.9075537, 40.6438684, East   92 Street, 11236, Brooklyn, American
40363834, Carvel Ice Cream, 1111, -74.0796436, 40.59878339999999, Hylan Boulevard, 10305, Staten, Ice
40363920, Golden Pavillion, 976, -73.92701509999999, 40.6620192, Rutland Road, 11212, Brooklyn, Chinese
40363945, Domino'S Pizza, 148, -73.9806854, 40.7778589, West   72 Street, 10023, Manhattan, Pizza
40364179, Spoon Bread Catering, 364, -73.96084119999999, 40.8014307, West  110 Street, 10025, Manhattan, American
40364220, Kosher Bagel Hole, 1423, -73.9615132, 40.6253268, Avenue J, 11230, Brooklyn, Jewish/Kosher
40364262, Terminal Cafe/Yankee Clipper, 0, -84.2040813, 9.9986585, Guardia Airport Parking, 11371, Queens, American
40364286, Plaza Bagels & Deli, 73, -74.1178949, 40.5734906, New Dorp Plaza, 10306, Staten, Delicatessen
40364296, Happy Garden, 277, -73.8941893, 40.8634684, East Kingsbridge Road, 10458, Bronx, Chinese
40364299, B & M Hot Bagel & Grocery, 203, -74.15235919999999, 40.5563756, Giffords Lane, 10308, Staten, Delicatessen
40364304, Texas Rotisserie, 94, -74.0061936, 40.7092038, Fulton Street, 10038, Manhattan, Chicken
40364305, Philadelhia Grille Express, 10004, -74.03400479999999, 40.6127077, 4 Avenue, 11209, Brooklyn, Italian
40364335, Peter Luger Steakhouse, 178, -73.96252129999999, 40.7098035, Broadway, 11211, Brooklyn, Steak
40364347, Metropolitan Club, 1, -73.97166039999999, 40.764832, East   60 Street, 10022, Manhattan, American
40364355, Palm Restaurant, 837, -73.9712, 40.751703, 2 Avenue, 10017, Manhattan, American
40364362, 21 Club, 21, -73.9774394, 40.7604522, West   52 Street, 10019, Manhattan, American
40364363, Manhem Club, 658, -73.81363999999999, 40.82941100000001, Clarence Ave, 10465, Bronx, American
40364373, Isle Of Capri Resturant, 1028, -73.966032, 40.762832, 3 Avenue, 10065, Manhattan, Italian
40364389, Old Town Bar & Restaurant, 45, -73.9891878, 40.7375638, East   18 Street, 10003, Manhattan, American
40364404, Polish National Home, 261, -73.94839189999999, 40.7224876, Driggs Avenue, 11222, Brooklyn, Polish
40364439, Seville Restaurant, 62, -74.00310999999999, 40.7348888, Charles Street, 10014, Manhattan, Latin
40364443, Criminal Court Bldg Cafeteria, 100, -74.0010484, 40.71599000000001, Centre Street, 10013, Manhattan, American
40364449, Gottscheer Hall, 657, -73.9056678, 40.7066898, Fairview Avenue, 11385, Queens, German
40364467, Nyac Main Dining Room, 180, -73.9788694, 40.7665961, Central Park South, 10019, Manhattan, American
40364518, 7B Bar, 108, -73.98146, 40.7250067, Avenue B, 10009, Manhattan, American
40364529, Ben-Best Deli & Restaurant, 96-40, -73.86137149999999, 40.7293762, Queens Boulevard, 11374, Queens, Jewish/Kosher
40364531, Cafe Atelier (Art Students League), 215, -73.9805679, 40.7659436, West 57 Street, 10019, Manhattan, American
40364572, Donohue'S Steak House, 845, -73.965531, 40.765431, Lexington Avenue, 10065, Manhattan, Steak
40364576, Tout Va Bien, 311, -73.98621899999999, 40.763406, West   51 Street, 10019, Manhattan, French
40364581, Junior'S, 386, -73.9818918, 40.6901211, Flatbush Avenue Extension, 11201, Brooklyn, American
40364610, Great Kills Yacht Club, 37, -74.138263, 40.546681, Mansion Ave, 10308, Staten, American
40364668, Marchis Restaurant, 251, -73.9775552, 40.7432016, East   31 Street, 10016, Manhattan, Italian
40364681, Towne Cafe, 2602, -73.95443709999999, 40.5877993, East   15 Street, 11235, Brooklyn, American
40364691, Dining Room, .1-A, -48.9424, -16.3550032, East 77 St, 10021, Manhattan, Continental
40364715, Old Homestead, 56, -74.004758, 40.741207, 9 Avenue, 10011, Manhattan, American
40364744, New Park Pizzeria & Restaurant, 156-71, -73.840437, 40.6627235, Crossbay Boulevard, 11414, Queens, Pizza/Italian
40364858, Douglaston Club, 600, -73.7522366, 40.7766941, West Drive, 11363, Queens, American
40364863, Serendipity 3, 225, -73.96485799999999, 40.761899, East   60 Street, 10022, Manhattan, American
40364889, Melody Lanes, 461, -74.002944, 40.652779, 37 Street, 11232, Brooklyn, American
40364920, Rizzo'S Fine Pizza, 30-13, -73.9151096, 40.763377, Steinway Street, 11103, Queens, Pizza
40364956, The New Starling Athletic Club Of The Bronx, 2222, -73.84971759999999, 40.8304811, Haviland Avenue, 10462, Bronx, American
40364958, White Horse Tavern, 567, -74.00619499999999, 40.735663, Hudson Street, 10014, Manhattan, American
40365013, Crystal Room, 67, -74.0707363, 40.59321569999999, Olympia Boulevard, 10305, Staten, Italian
40365022, Labetti'S Post # 2159, 390, -74.07444319999999, 40.6096914, Hylan Boulevard, 10305, Staten, American
40365043, Shell Lanes, 1, -73.9727638, 40.588853, Bouck Court, 11223, Brooklyn, American
40365075, Mcsorley'S Old Ale House, 15, -73.9896713, 40.7287978, East    7 Street, 10003, Manhattan, Irish
40365098, Forlinis Restaurant, 93, -73.99950489999999, 40.7169224, Baxter Street, 10013, Manhattan, Italian
40365120, South Shore Swimming Club, 6736, -74.2274942, 40.5071996, Hylan Boulevard, 10309, Staten, American
40365166, Corner Bistro, 331, -74.0037823, 40.7380122, West    4 Street, 10014, Manhattan, American
40365226, Nostrand Donut Shop, 1449, -73.94933739999999, 40.6509823, Nostrand Avenue, 11226, Brooklyn, Donuts
40365239, Dorrian'S Red Hand Restaurant, 1616, -73.952449, 40.776325, 2 Avenue, 10028, Manhattan, Irish
40365264, La Grenouille, 3, -73.97557069999999, 40.7596796, East   52 Street, 10022, Manhattan, French
40365280, Como Pizza, 4035, -73.9395182, 40.8422945, Broadway, 10032, Manhattan, Pizza
40365288, Keats Restaurant, 842, -73.97063700000001, 40.751495, 2 Avenue, 10017, Manhattan, American
40365293, Angelo Of Mulberry St., 146, -73.9973041, 40.7188698, Mulberry Street, 10013, Manhattan, Italian
40365348, Panchito'S, 103, -74.001043, 40.729795, Macdougal Street, 10012, Manhattan, Mexican
40365355, New Corner, 7201, -74.0166091, 40.6284767, 8 Avenue, 11228, Brooklyn, Italian
40365361, The Princeton Club, 15, -73.98126069999999, 40.7547107, West   43 Street, 10036, Manhattan, American
40365387, Arturo'S, 106, -74.0003315, 40.7274874, West Houston Street, 10012, Manhattan, Italian
40365414, Le Perigord, 405, -73.9646207, 40.7550069, East   52 Street, 10022, Manhattan, French
40365423, Reynold'S Bar, 4241, -73.9365108, 40.8497077, Broadway, 10033, Manhattan, American
40365454, Joe & Pat'S Pizzeria, 1758, -74.1220973, 40.6129407, Victory Boulevard, 10314, Staten, Pizza/Italian
40365472, Spain Restaurant & Bar, 113, -73.9979214, 40.7371344, West   13 Street, 10011, Manhattan, Spanish
40365473, Palace Cafe, 206, -73.9446421, 40.7253944, Nassau Avenue, 11222, Brooklyn, American
40365499, Yankee Tavern, 72, -73.92506, 40.8275556, East  161 Street, 10451, Bronx, American
40365525, Donut Pub, 203, -73.99987229999999, 40.7386361, West   14 Street, 10011, Manhattan, Donuts
40365526, Moran'S Chelsea, 146, -74.0056649, 40.7452371, 10 Avenue, 10011, Manhattan, Irish
40365546, Reben Luncheonette, 229, -73.9590059, 40.7090147, Havemeyer Street, 11211, Brooklyn, American
40365577, V & T Restaurant, 1024, -73.96392089999999, 40.8033908, Amsterdam Avenue, 10025, Manhattan, Italian
40365592, King Yum Restaurant, 181-08, -73.7867565, 40.7271312, Union Turnpike, 11366, Queens, Chinese
40365627, Jahn'S Restaurant, 8104, -73.8850023, 40.7494272, 37 Avenue, 11372, Queens, American
40365632, J&V Famous Pizza, 6322, -73.9896898, 40.6199526, 18 Avenue, 11204, Brooklyn, Pizza
40365633, La Parisienne Diner, 910, -73.9799932, 40.7660886, Seventh Avenue, 10019, Manhattan, American
40365644, Joe Allen Restaurant, 326, -73.989131, 40.760039, West 46 Street, 10036, Manhattan, American
40365692, Joyce'S Tavern, 3823, -74.16536339999999, 40.5450793, Richmond Avenue, 10312, Staten, American
40365709, Il Vagabondo Restaurant, 351, -73.96117869999999, 40.7619226, East   62 Street, 10065, Manhattan, Italian
40365726, Barbetta Restaurant, 319321, -73.988948, 40.760337, 323 W. 46Th St., 10036, Manhattan, Italian
40365784, Gargiulo'S Restaurant, 2911, -73.982241, 40.576366, West   15 Street, 11224, Brooklyn, Italian
40365789, Patsy'S Italian Restaurant, 236, -73.9827418, 40.7655827, West   56 Street, 10019, Manhattan, Italian
40365841, Parkside Restaurant, 10701, -73.856132, 40.743841, Corona Avenue, 11368, Queens, Italian
40365844, Lavelle'S Admiral'S Club, 45-15, -73.91427200000001, 40.7569379, Broadway, 11103, Queens, American
40365871, Neary'S Pub, 358, -73.963506, 40.758273, East 57 Street, 10022, Manhattan, American
40365882, New York Pizza Suprema, 413, -73.99532099999999, 40.750205, 8 Avenue, 10001, Manhattan, Pizza
40365893, Mcdwyers Pub, 331, -73.87786539999999, 40.8724377, East  204 Street, 10467, Bronx, Irish
40365904, Mee Sum Coffee Shop, 26, -73.9983, 40.715051, Pell Street, 10013, Manhattan, Caf\u00e9/Coffee/Tea
40365938, Nancy'S Fire Side, 25541, -73.70902579999999, 40.7276012, Jamaica Avenue, 11001, Queens, American
40365942, Hop Kee Restaurant, 21, -73.9990337, 40.7143954, Mott Street, 10013, Manhattan, Chinese
40365968, Nancy Whiskey Pub, 1, -74.0049219, 40.720699, Lispenard Street, 10013, Manhattan, American
40365972, Blarney Bar, 146-09, -73.808593, 40.702028, Jamaica Avenue, 11435, Queens, American
40366002, Margherita Pizza, 16304, -73.78999089999999, 40.7118632, Jamaica Avenue, 11432, Queens, Pizza
40366054, Healy'S Pub, 10807, -73.8299395, 40.5812137, Rockaway Beach Boulevard, 11694, Queens, American
40366109, Fifth Avenue Bingo, 416, -73.98586209999999, 40.67017250000001, 5 Avenue, 11215, Brooklyn, American
40366132, Denino'S Pizzeria Tavern, 524, -74.1402105, 40.6301893, Port Richmond Avenue, 10302, Staten, Pizza/Italian
40366154, Michael'S Restaurant, 2929, -73.942849, 40.6076256, Avenue R, 11229, Brooklyn, Italian
40366157, Nanni Restaurant, 146, -73.9736776, 40.7535755, East   46 Street, 10017, Manhattan, Italian
40366162, Lenihan'S Saloon, 119-09, -73.82770529999999, 40.6944628, Atlantic Avenue, 11418, Queens, American
40366214, Emilio Iii Bar, 4218, -73.8682701, 40.745683, Junction Boulevard, 11368, Queens, Latin
40366222, Killarney Rose, 80, -74.0086833, 40.7052024, Beaver Street, 10005, Manhattan, Irish
40366230, Don Peppe, 13558, -73.8216767, 40.6689548, Lefferts Boulevard, 11420, Queens, Italian
40366356, Blarney Castle, 202-24, -73.9250442, 40.5595462, Rockaway Point Boulevard, 11697, Queens, American
40366361, Three Star Restaurant, 1611, -73.955074, 40.599217, Avenue U, 11229, Brooklyn, American
40366379, Blarney Rock, 137, -73.98926, 40.7509054, West   33 Street, 10001, Manhattan, Irish
40366381, Dangerfield'S Night Club, 1118, -73.960573, 40.760982, 1 Avenue, 10065, Manhattan, American
40366396, Desmond'S Tavern, 433, -73.98306099999999, 40.7441419, Park Avenue South, 10016, Manhattan, American
40366425, Naomi Kosher Pizza, 6828, -73.8204154, 40.7242443, Main Street, 11367, Queens, Jewish/Kosher
40366471, Roll-N-Roaster, 2901, -73.9396213, 40.5841703, Emmons Avenue, 11235, Brooklyn, American
40366473, Tio Pepe, 168, -74.0016583, 40.7319679, West    4 Street, 10014, Manhattan, Spanish
40366487, Brennan & Carr, 3432, -73.9420751, 40.6002442, Nostrand Avenue, 11229, Brooklyn, American
40366497, The Punch Bowl, 5820, -73.9002615, 40.885186, Broadway, 10463, Bronx, American
40366543, Jardin De China Rest, 37-37, -73.8700163, 40.7504734, Junction Boulevard, 11368, Queens, Chinese
40366549, Irish Cottage, 108-07, -73.8236419, 40.7261682, 72 Avenue, 11375, Queens, Irish
40366574, Blarney Stone, 11, -74.0137007, 40.7062029, Trinity Place, 10006, Manhattan, Irish
40366586, Shimons Kosher Pizza, 71-24, -73.8221418, 40.7272376, Main Street, 11367, Queens, Jewish/Kosher
40366643, The Riviera Cafe, 225, -74.0027865, 40.7340505, West    4 Street, 10014, Manhattan, American
40366652, Fascati'S Pizzeria, 80, -73.9927131, 40.6984887, Henry Street, 11201, Brooklyn, Pizza/Italian
40366661, Baby Bo'S Burritos, 627, -73.97598099999999, 40.745132, 2 Avenue, 10016, Manhattan, Tex-Mex
40366711, Li Greci'S Staaten Restaurant, 697, -74.11223799999999, 40.629819, Forest Avenue, 10310, Staten, American
40366716, Shun Lee Palace Restaurant, 155, -73.9690789, 40.7594184, East   55 Street, 10022, Manhattan, Chinese
40366742, Tamaqua, 84, -73.9300062, 40.5943553, Ebony Court, 11229, Brooklyn, American
40366748, Munchtime, 21, -73.9168424, 40.8401362, East  170 Street, 10452, Bronx, American
40366812, Cara Mia, 220-20, -73.74292179999999, 40.7305714, Hillside Avenue, 11427, Queens, Italian
40366833, Ihop, 4340, -73.8194559, 40.8899176, Boston Road, 10475, Bronx, Pancakes/Waffles
40366857, Maloney'S Bar, 8769, -73.809167, 40.705421, Sutphin Boulevard, 11435, Queens, American
40366879, La Fusta Restaurant, 80-32, -73.8845166, 40.744772, Baxter Avenue, 11373, Queens, Spanish
40366928, Richmond County Country Club, 135, -74.10465599999999, 40.58834, Flagg Place, 10304, Staten, American
40366929, Little Brown Jug, 12402, -73.82629709999999, 40.700598, Jamaica Avenue, 11418, Queens, American
40366938, Lulu'S Coffee Shop, 1191, -73.8513114, 40.8316981, Castle Hill Avenue, 10462, Bronx, Caf\u00e9/Coffee/Tea
40366961, Mitchell'S Restaurant, 617, -73.9681178, 40.678776, Vanderbilt Avenue, 11238, Brooklyn, Soul
40366987, El Charro Espanol, 4, -74.00065800000002, 40.735114, Charles Street, 10014, Manhattan, Spanish
40366993, Finnegan'S Wake, 1361, -73.9556394, 40.768679, First Avenue, 10021, Manhattan, American
40367005, Da Vinci Pizza, 6514, -73.9907801, 40.6188665, 18 Avenue, 11204, Brooklyn, Pizza/Italian
40367038, Mexico Lindo Restaurant, 459, -73.979839, 40.739796, 2 Avenue, 10010, Manhattan, Mexican
40367161, Marina Delray, 2894, -73.815175, 40.8137649, Schurz Ave, 10465, Bronx, American
40367164, New Floridian Diner, 2301, -73.9270926, 40.6142428, Flatbush Avenue, 11234, Brooklyn, American
40367179, Twins Pub, 421, -73.99682299999999, 40.753182, 9 Avenue, 10001, Manhattan, Irish
40367183, Narrows Coffee Shop, 10001, -74.03345, 40.612598, 4 Avenue, 11209, Brooklyn, American
40367189, Broome Street Bar, 363, -74.0029643, 40.7231081, West Broadway, 10013, Manhattan, American
40367232, O'Hanlon'S Pub, 22-57, -73.9121201, 40.7749286, 31 Street, 11105, Queens, Irish
40367240, Charlies Sports Bar, 4408, -73.90364869999999, 40.74133339999999, 60Th St. - Store, 11377, Queens, American
40367241, Jg Melon Restaurant, 1291, -73.9593019, 40.77105400000001, 3 Avenue, 10021, Manhattan, American
40367278, Jack'S Pizza & Pasta, 21249, -73.7775242, 40.778475, 26 Avenue, 11360, Queens, Pizza/Italian
40367329, Emerald Pub, 308, -74.0084936, 40.7258072, Spring Street, 10013, Manhattan, American
40367338, Tap Room, 180, -73.9788694, 40.7665961, Central Park South, 10019, Manhattan, American
40367339, Cocktail Room (Nyac), 180, -73.9788694, 40.7665961, Central Park South, 10019, Manhattan, American
40367365, Flame Restaurant Coffee House, 893, -73.98557920000002, 40.7686093, 9 Avenue, 10019, Manhattan, American
40367373, Jackson Hole, 232, -73.9629729, 40.7638694, East   64 Street, 10065, Manhattan, American
40367377, Zum Stammtisch, 6946, -73.8811834, 40.7017759, Myrtle Avenue, 11385, Queens, German
40367407, John'S Restaurant, 302, -73.985535, 40.730605, East 12 Street, 10003, Manhattan, Italian
40367420, Grassroot Tavern, 20, -73.988991, 40.728848, St Marks Place, 10003, Manhattan, American
40367442, Buddy'S Wonder Bar, 17, -74.1350211, 40.6369042, Harrison Avenue, 10302, Staten, American
40367481, The Assembly Bar, 7302, -73.876876, 40.703885, Cooper Avenue, 11385, Queens, American
40367534, Mr Broadway Kosher Restaurant, 1372, -73.9870818, 40.7523004, Broadway, 10018, Manhattan, Jewish/Kosher
40367540, Piccola Venezia, 42-01, -73.911784, 40.764766, 28 Avenue, 11103, Queens, Italian
40367544, Malaga Restaurant, 406, -73.9550129, 40.768019, East 73 Street, 10021, Manhattan, Spanish
40367570, Ni-Ni'S Cafe, 710, -74.1003379, 40.5655379, New Dorp Lane, 10306, Staten, Italian
40367677, Capitol Restaurant, 4933, -73.9215284, 40.8678204, Broadway, 10034, Manhattan, American
40367715, La Bonne Soupe Bistro, 48, -73.977035, 40.762307, West   55 Street, 10019, Manhattan, French
40367728, Mimis Restaurant & Bar, 984, -73.9672945, 40.7561212, Second Avenue, 10022, Manhattan, Italian
40367749, Lenny'S Clam Bar, 16103, -73.83856999999999, 40.655669, Crossbay Boulevard, 11414, Queens, Seafood
40367752, Griffis Faculty Club, 521, -73.9542568, 40.7641379, East   68 Street, 10065, Manhattan, American
40367766, Gray'S Papaya, 2080, -73.98185529999999, 40.7782266, Broadway, 10023, Manhattan, Hotdogs
40367789, Dani Pizza And Restaurant, 81-28, -73.8305269, 40.7089494, Lefferts Boulevard, 11415, Queens, Pizza
40367790, Mcdonald'S, 943, -73.95802549999999, 40.6487475, Flatbush Avenue, 11226, Brooklyn, Hamburgers
40367795, El Greco Diner, 1821, -73.95006049999999, 40.5838274, Emmons Avenue, 11235, Brooklyn, Greek
40367797, One If By Land Two If By Sea, 17, -74.00259299999999, 40.7324849, Barrow Street, 10014, Manhattan, Seafood
40367829, Mcdonald'S, 75-50, -73.8618426, 40.6797488, 101 Avenue, 11416, Queens, Hamburgers
40367841, Fiorellos, 1900, -73.9819129, 40.77151449999999, Broadway, 10023, Manhattan, Italian
40367860, Lb Spumoni Gardens, 2725, -73.9812843, 40.5947365, 86 Street, 11223, Brooklyn, Pizza/Italian
40367870, Amore Pizzeria & Restaurant, 30-27, -73.8344778, 40.7692995, Stratton Street, 11354, Queens, Pizza/Italian
40367946, The Lark'S Nest, 4280, -73.86697, 40.89794699999999, Katonah Ave, 10470, Bronx, Not
40368018, Terrace Cafe, 2300, -73.8786113, 40.8502883, Southern Boulevard, 10460, Bronx, Caf\u00e9/Coffee/Tea
40368021, African Terrace, 2300, -73.8786113, 40.8502883, Southern Boulevard, 10460, Bronx, African
40368022, Cool Zone, 2300, -73.8786113, 40.8502883, Southern Boulevard, 10460, Bronx, American
40368025, Beaver Pond, 2300, -73.8786113, 40.8502883, Southern Boulevard, 10460, Bronx, American
40368026, African Market (Baboon Cafe), 2300, -73.8786113, 40.8502883, Southern Boulevard, 10460, Bronx, American
40368034, Roadhouse Restaurant, 1402, -74.1005771, 40.6134163, Clove Road, 10301, Staten, Italian
40368065, Ford Foundation Cafeteria, 320, -73.971128, 40.749869, East 43 Street, 10017, Manhattan, American
40368157, Elephant & Castle, 68, -74.00066699999999, 40.736224, Greenwich Avenue, 10011, Manhattan, American
40368207, Mill Basin Kosher Deli, 5823, -73.9181846, 40.6157107, Avenue T, 11234, Brooklyn, Jewish/Kosher
40368223, Oyster Bar, , -73.97705599999999, 40.752998, Grand Central Terminal, 10017, Manhattan, Seafood
40368271, Cherry Tavern, 441, -73.98431219999999, 40.7258174, East    6 Street, 10009, Manhattan, American
40368291, Colonnade Diner, 2001, -74.099018, 40.58116500000001, Hylan Boulevard, 10306, Staten, American
40368313, Red Flame Diner, 67, -73.9827221, 40.7561037, West   44 Street, 10036, Manhattan, American
40368318, Maggies Place, 21, -73.977114, 40.756295, East   47 Street, 10017, Manhattan, American
40368338, Brady'S Bar, 1583, -73.9537859, 40.775493, 2 Avenue, 10028, Manhattan, American
40368346, Da Silvano Restaurant, 260, -74.0062401, 40.7397546, 6 Avenue, 10014, Manhattan, Italian
40368370, Benjamin, 603, -73.9765607, 40.7443236, 2 Avenue, 10016, Manhattan, American
40368374, Jimmy'S Corner, 140, -73.984838, 40.756594, West   44 Street, 10036, Manhattan, American
40368526, Frost Restaurant, 193, -73.94347599999999, 40.718386, Frost Street, 11211, Brooklyn, Italian
40368552, Sammy'S Steakhouse, 155157, 153.1628795, -28.0168595, Christie St., 10002, Manhattan, Steak
40368555, Il Cortile Restaurant, 123, -73.998254, 40.7179289, Mulberry Street, 10013, Manhattan, Italian
40368577, Denny'S Pub, 106, -73.9789394, 40.6429349, Beverly Road, 11218, Brooklyn, American
40368581, Maries Crisis Cafe, 59, -74.00340299999999, 40.733235, Grove Street, 10014, Manhattan, American
40368617, Boots & Saddle Bar, 76, -74.00341019999999, 40.7335084, Christopher Street, 10014, Manhattan, American
40368632, New Parkway Restaurant, 7504, -74.0078144, 40.6202393, 13 Avenue, 11228, Brooklyn, American
40368725, Cafe Riazor, 245, -74.000399, 40.740848, West   16 Street, 10011, Manhattan, Spanish
40368752, Raouls, 180, -74.002139, 40.7261357, Prince Street, 10012, Manhattan, French
40368763, The Brook, 111, -73.9714599, 40.759647, East   54 Street, 10022, Manhattan, American
40368801, Marbella Restaurant, 22033, -73.76078199999999, 40.761876, Northern Boulevard, 11361, Queens, Latin
40368809, P.J.' S, 18925, -73.7796156, 40.7298006, Union Turnpike, 11366, Queens, American
40368897, Hatsuhana Restaurant, 17, -73.97691499999999, 40.757028, East   48 Street, 10017, Manhattan, Japanese
40368971, La Mangeoire, 1008, -73.9668354, 40.7568328, 2 Avenue, 10022, Manhattan, French
40369012, Valentino'S Pizza, 7147, -73.814835, 40.7288261, Kissena Boulevard, 11367, Queens, Pizza/Italian
40369016, Viand Coffee Shop, 673, -73.970169, 40.764834, Madison Avenue, 10065, Manhattan, Greek
40369017, Palm Too, 840, -73.970668, 40.751453, 2 Avenue, 10017, Manhattan, American
40369051, Steve'S Coffee Shop, 403416, -91.5971285, 41.6823902, 2Nd St, 11358, Queens, Caf\u00e9/Coffee/Tea
40369087, Blue Bay Restaurant, 3533, -73.9100082, 40.8863835, Johnson Avenue, 10463, Bronx, American
40369097, Nada-Sushi, 135, -73.9717, 40.756457, East   50 Street, 10022, Manhattan, Japanese
40369111, The Hytes Bar, 1082, -73.942599, 40.67096, St Johns Place, 11213, Brooklyn, American
40369139, Pergola Des Artistes, 252, -73.9873049, 40.7592843, West   46 Street, 10036, Manhattan, French
40369158, Jody'S Club, 372, -74.1018239, 40.630788, Forest Avenue, 10301, Staten, American
40369165, Reif'S Tavern, 302, -73.9486257, 40.7813724, East 92 Street, 10128, Manhattan, American
40369213, Whitestone Lanes, 3005, -73.8335566, 40.7703224, Whitestone Expressway, 11354, Queens, American
40369262, John'S Pizzeria, 8502, -73.8818014, 40.7347681, Grand Avenue, 11373, Queens, Pizza
40369299, Seashore Restaurant, 591, -73.790804, 40.8541848, City Island Ave, 10464, Bronx, Seafood
